-0.459109,0.204958,0.00472473 
-0.460043,0.21411,0.00582966 
-0.44888,0.197528,-0.00965705 
-0.454188,0.196966,0.008091 
-0.455441,0.222968,0.00856541 
-0.447787,0.222387,-0.00552409 
-0.450728,0.18866,-0.00756732 
-0.450463,0.18613,0.00475573 
-0.450927,0.20507,0.00832738 
-0.448873,0.238419,0.00281436 
0.389125,0.07146,-0.166937 
-0.447065,0.18071,-0.00524343 
-0.44739,0.213675,-0.00328213 
-0.446376,0.205335,-0.00578261 
-0.440607,0.244235,0.00105068 
-0.445003,0.205754,0.0024418 
0.381412,0.0665935,-0.162129 
0.451862,0.0805264,-0.153792 
-0.438342,0.189995,-0.00878518 
-0.443303,0.193677,0.00843643 
0.367887,0.0499881,-0.155125 
-0.440167,0.174522,-0.00810761 
-0.435867,0.181301,-0.0117573 
-0.446027,0.229857,0.00632234 
-0.433321,0.238471,-0.00907746 
-0.432292,0.232084,0.00197846 
-0.431668,0.245395,-0.00138836 
-0.437065,0.0663073,0.0127847 
-0.436956,0.0633745,-0.0157574 
-0.436409,0.130204,0.010013 
-0.434146,0.162714,-0.000115143 
-0.439522,0.183389,0.0100711 
-0.432095,0.0982711,0.0453652 
-0.432545,0.0466533,-0.0157458 
-0.431943,0.046386,-0.0333505 
0.450152,0.0721309,-0.145303 
-0.429455,0.0983608,-0.0520922 
-0.435064,0.171855,0.00894461 
-0.430123,0.171902,-0.0124764 
-0.437028,0.240217,0.00782196 
-0.425932,0.13632,0.0263744 
-0.426584,0.1279,0.0341565 
-0.426721,0.119602,0.0426305 
-0.428586,0.0425464,0.0211498 
-0.429752,0.0549951,0.0646599 
-0.427016,0.0713947,-0.0658473 
0.396594,0.0845171,-0.144878 
-0.428142,0.0942145,0.0555575 
-0.425514,0.164443,-0.0131556 
-0.419119,0.236957,-0.00773007 
-0.41936,0.241954,0.00127986 
-0.424036,0.015743,-0.0589199 
-0.424455,0.0193661,0.0401395 
-0.423958,0.0228426,0.030359 
